SalePrice,GrLivArea,OverallQual,SaleCondition,BldgType,YearBuilt,GarageCars,LotArea,HeatingQC,KitchenQual,MiscVal,YearRemodAdd,YrSold,RoofStyle,SaleType
230000,1852,8,1,1,1999,3,9066,5,4,0,2000,2008,2,1
231500,1764,6,1,1,1997,2,15426,5,4,0,1997,2009,2,1
115000,864,4,1,1,1971,0,10500,3,3,0,1971,2010,2,8
260000,1734,7,1,1,2005,2,11645,5,4,0,2005,2006,2,1
166000,1385,5,1,1,1952,2,8520,2,3,0,1952,2010,2,1
204000,1501,7,1,1,1999,2,10335,5,4,0,1999,2009,2,1
125000,1728,5,2,3,1963,2,9100,3,3,0,1963,2006,2,8
130000,1709,6,1,5,2004,2,2522,5,4,0,2006,2006,2,1
105000,875,5,1,1,1931,1,6120,3,3,0,1993,2009,2,1
222500,2035,7,1,1,2001,2,9505,5,4,0,2001,2010,2,1
141000,1080,7,1,1,2004,0,7500,5,4,0,2005,2008,2,1
115000,1344,5,1,1,1936,1,6240,4,3,0,1950,2006,2,1
122000,969,5,1,1,1975,2,10356,3,3,0,1975,2007,2,1
372402,1710,8,6,1,2007,3,13891,5,4,0,2008,2008,4,4
190000,1993,6,1,1,1971,2,14803,4,3,0,1971,2006,2,1
235000,1252,6,1,1,1960,2,13500,4,3,0,1975,2008,1,1
125000,1200,6,5,1,1923,1,11340,3,3,0,1950,2006,2,1
79000,1096,6,1,1,1924,0,9600,2,3,0,1950,2008,2,1
109500,1040,5,1,1,1950,2,7200,3,3,0,1950,2006,4,1
269500,1968,8,6,1,2009,3,12003,5,5,0,2010,2010,2,4
254900,1947,7,1,1,2004,2,12552,5,4,0,2005,2010,2,1
320000,2462,7,6,1,2005,2,19378,5,4,0,2006,2006,2,4
162500,1232,6,1,1,1984,2,11120,3,3,0,1984,2008,2,1
412500,2668,9,1,1,2003,3,13688,5,5,0,2004,2008,2,1
220000,1541,7,6,1,2005,2,12182,5,4,0,2005,2010,2,4
103200,882,4,1,1,1956,0,5500,5,3,0,1956,2007,2,1
152000,1616,6,1,1,1926,1,5400,4,4,0,2004,2007,2,1
127500,1355,5,1,2,1940,0,10106,4,3,0,1999,2008,2,1
190000,1867,5,1,1,1955,1,10708,5,3,0,1993,2009,4,5
325624,2161,8,6,1,2007,3,10562,5,5,0,2007,2007,2,4
183500,1720,7,1,1,2004,2,8244,5,4,0,2004,2007,2,1
228000,1707,8,1,1,1981,2,16669,3,3,0,1981,2006,4,1
128500,1382,5,1,1,1941,2,12358,3,3,0,1950,2007,2,1
215000,1656,6,1,1,1960,2,31770,2,3,0,1960,2010,4,1
239000,1767,7,1,4,1987,2,5306,4,4,0,1987,2006,2,1
163000,1362,6,1,1,1961,2,10197,3,3,0,1961,2008,2,5
184000,1651,6,1,1,1986,2,12416,3,3,0,1986,2008,2,1
243000,2158,6,1,1,1950,2,12615,3,4,0,2001,2007,2,1
211000,2060,6,1,1,1988,2,10029,3,3,0,1989,2007,2,1
172500,1920,5,1,1,1958,2,13650,5,4,0,1958,2006,2,1
501837,2234,9,6,1,2008,3,17423,5,5,0,2009,2009,4,4
100000,968,5,1,1,1923,2,8520,3,3,0,2006,2007,2,1
177000,1525,6,1,5,2000,2,2117,5,4,0,2000,2007,2,1
200100,1802,7,1,1,1920,1,7588,4,3,0,1950,2006,2,1
120000,1340,5,1,1,1957,1,9060,5,3,0,2006,2007,4,1
200000,2082,7,1,1,2003,2,11426,5,4,0,2003,2008,2,1
127000,1252,5,1,1,1908,2,7438,4,3,0,1991,2006,2,1
475000,3608,10,1,1,1892,3,22950,5,5,0,1993,2006,2,1
173000,1217,7,1,1,1990,2,9947,5,4,0,1991,2009,2,1
135000,1656,5,1,1,1916,1,10410,5,3,0,1987,2009,2,1
153337,1224,5,4,3,1979,2,7018,3,3,0,1979,2009,2,1
286000,1593,8,1,4,2001,2,4923,5,5,0,2002,2008,2,1
315000,2727,8,1,1,1932,2,10570,3,4,0,1994,2007,4,1
184000,1479,7,1,1,1972,2,7472,4,4,0,2004,2007,2,1
192000,1431,7,1,1,1999,2,9017,5,4,0,1999,2009,2,1
130000,1709,7,1,5,2004,2,2522,5,4,0,2004,2006,2,1
127000,864,5,1,1,1972,1,7180,3,3,0,1972,2008,4,1
148500,1456,6,1,5,1976,2,2280,3,3,0,1976,2009,2,1
311872,1726,7,6,1,2007,3,9416,5,5,0,2007,2007,4,4
235000,3112,8,2,1,1918,2,25419,4,4,0,1990,2006,2,1
104000,2229,6,2,1,1912,0,5520,5,3,0,1950,2009,2,1
274900,1713,8,1,1,2004,3,9591,5,5,0,2005,2009,4,1
140000,1121,4,1,1,2003,2,8546,5,3,0,2004,2010,2,1
171500,1279,6,1,1,1977,2,10125,3,3,0,1977,2008,2,1
112000,1310,6,1,1,1924,1,7000,4,3,0,1950,2006,2,5
149000,848,6,1,4,2004,2,4438,5,4,0,2004,2008,2,1
110000,1284,5,1,1,1947,1,3500,3,3,0,1950,2009,2,1
180500,1442,7,1,1,1990,2,11851,5,3,0,1990,2009,2,1
143900,1696,5,1,1,1962,1,13673,3,3,0,1962,2007,2,1
141000,1100,4,1,1,1960,1,12493,3,3,0,1960,2008,2,1
277000,2062,7,1,1,1988,2,14364,5,3,0,1989,2007,2,1
145000,1092,6,1,1,1964,2,8250,5,3,0,1964,2008,4,1
98000,864,5,1,1,1925,0,5604,3,3,0,1950,2008,2,1
186000,1212,6,1,1,2009,2,10420,5,4,0,2009,2010,2,1
252678,1852,7,6,1,2009,2,8640,5,4,0,2009,2009,2,4
156000,990,5,1,1,1995,2,13568,5,3,0,1995,2006,2,1
161750,1392,6,1,1,1977,1,10900,5,3,450,1977,2010,2,1
134450,1236,5,1,1,1957,1,10011,3,4,0,1996,2006,2,1
210000,1436,7,1,1,2004,2,8450,5,4,0,2004,2008,2,1
107000,1328,4,5,1,1925,1,9906,2,3,0,1950,2006,2,1
311500,1954,7,1,1,1939,2,15660,5,4,0,2006,2008,2,1
167240,1248,7,6,4,2005,2,3010,5,4,0,2006,2006,2,4
204900,1498,7,6,1,2006,2,8990,5,4,0,2006,2006,2,4
200000,2267,6,1,1,2002,2,8068,5,4,0,2002,2009,2,8
179900,1552,6,1,1,1975,2,11475,3,3,0,1975,2006,2,1
97000,864,4,2,1,1971,2,10500,4,3,0,1971,2009,2,1
386250,2392,10,1,1,2003,3,13472,5,5,0,2003,2009,4,1
112000,1302,5,2,5,1971,1,1680,3,3,0,1971,2009,2,5
290000,2520,7,2,1,1995,3,9950,5,4,0,1995,2007,2,1
106000,987,6,1,5,1970,1,1869,3,3,0,1970,2008,2,1
125000,912,5,1,1,1967,1,8521,3,3,0,1967,2010,2,1
192500,1555,7,1,4,2005,2,3182,5,4,0,2006,2009,2,1
148000,1194,6,1,1,1959,1,8760,3,3,0,1959,2010,4,1
403000,2794,8,1,1,1995,3,15138,5,5,0,1996,2009,2,1
94500,987,6,1,5,1972,1,1680,3,3,0,1972,2006,2,1
128200,894,5,1,1,1976,1,10650,3,3,0,1976,2010,2,1
216500,1960,6,1,1,2002,2,7851,5,4,0,2002,2010,2,1
89500,987,6,1,4,1971,1,1680,3,3,0,1971,2008,2,1
185500,1414,7,1,1,2004,2,8773,5,4,0,2004,2010,2,1
194500,1744,7,1,1,1993,2,9453,5,4,0,2003,2010,2,1
318000,1694,8,6,1,2007,3,12030,5,4,0,2007,2007,4,4
113000,1487,6,1,1,1945,1,8741,3,3,0,1950,2010,2,1
262500,1566,8,1,1,2008,2,9000,5,4,0,2008,2010,2,1
110500,866,5,1,1,1945,0,3880,4,4,0,1997,2007,2,1
79000,1440,5,1,1,1900,1,5000,4,3,0,1950,2006,2,1
120000,1217,6,1,4,1980,1,10762,3,3,0,1980,2009,2,1
205000,2110,7,1,1,1994,2,8880,5,4,0,2002,2010,2,1
241500,1872,7,1,1,1988,2,10400,4,3,0,1988,2006,2,1
137000,1928,6,1,2,1910,1,9142,4,2,0,1950,2006,2,1
140000,1375,6,1,1,1954,2,11310,5,3,0,1954,2006,4,1
180000,1668,7,1,1,2003,2,11317,5,4,0,2003,2007,2,1
277000,2144,6,1,1,1958,2,159000,4,4,500,2006,2007,2,1
76500,1306,3,1,1,1940,0,5350,5,2,450,1966,2010,2,1
235000,1625,8,5,4,2006,2,4750,5,4,0,2007,2007,4,1
173000,1640,6,1,1,2004,2,8366,5,4,0,2004,2008,2,1
158000,1302,6,1,1,1964,1,9350,5,4,0,1991,2007,4,2
145000,1314,5,1,1,1957,1,8400,3,3,0,1957,2010,2,1
230000,2291,7,1,1,1999,2,8738,5,4,0,1999,2006,2,1
207500,1728,6,1,1,2003,2,8791,5,4,0,2003,2008,2,1
220000,1604,7,2,1,2006,2,8814,5,4,0,2006,2009,2,1
231500,1792,7,1,1,2001,2,12435,5,4,0,2001,2008,2,1
97000,882,5,1,1,1956,1,12702,4,3,0,1956,2008,2,1
176000,1382,6,1,1,1962,2,19296,3,3,0,1962,2009,2,1
276000,2574,8,6,1,2007,3,9588,5,5,0,2007,2007,2,4
151000,1212,6,1,1,1977,2,8471,3,3,0,1995,2006,2,1
130000,1316,5,1,1,1929,2,5500,3,3,0,2001,2010,2,1
73000,764,5,1,1,1925,2,5232,4,3,0,2004,2008,2,1
175500,1422,6,1,1,1981,2,12090,3,4,0,1981,2008,2,1
185000,1511,6,1,1,1997,2,11207,4,3,0,1997,2006,2,1
179500,2192,5,1,1,1939,1,8400,5,4,0,1997,2008,2,1
120500,778,5,1,1,1940,1,6900,5,3,0,1955,2008,2,1
148000,1113,6,1,1,1976,1,7917,3,3,0,1976,2007,4,1
266000,1939,8,6,1,2006,3,10728,4,4,0,2006,2006,2,4
241500,1363,7,1,1,1954,2,39104,5,3,0,2005,2008,1,1
290000,2270,8,1,1,1999,3,11764,5,4,0,2007,2010,2,1
139000,1632,6,1,1,1958,1,9600,4,3,0,1988,2009,4,1
124500,816,5,1,1,1982,1,8314,3,3,0,1982,2007,2,1
205000,1548,7,1,1,1925,2,7264,4,5,0,2007,2009,2,1
201000,1560,7,1,1,2003,2,9196,5,4,0,2003,2010,2,1
141000,864,4,1,1,1951,2,19138,5,3,0,1951,2010,2,1
415298,2121,9,6,1,2006,3,14450,5,5,0,2007,2007,2,4
192000,2022,7,1,1,1977,2,10005,5,3,0,1977,2008,4,1
228500,1982,7,1,1,1989,2,11287,4,4,0,1989,2007,2,1
185000,1262,6,6,1,2006,2,7200,4,4,0,2006,2006,2,4
207500,1314,7,1,5,2007,2,5063,5,4,0,2008,2009,2,7
244600,1468,8,6,1,2008,3,9612,5,4,0,2009,2009,2,4
179200,1575,6,1,4,1992,2,8012,4,4,0,1992,2007,2,1
164700,1250,7,6,4,2006,2,4251,5,4,0,2007,2007,2,4
159000,1734,6,1,1,1962,2,9786,3,4,0,1981,2006,2,1
88000,858,4,1,1,1971,0,8125,3,3,0,1971,2006,2,1
122000,900,5,1,1,1967,1,9819,3,3,0,1967,2010,2,1
153575,1396,6,1,1,1915,1,8730,5,3,0,2003,2007,2,1
233230,1919,8,6,1,2006,2,15611,5,4,0,2006,2006,2,4
135900,1716,5,1,2,1912,0,5687,5,2,0,2000,2008,2,1
131000,1716,5,1,1,1949,1,11409,4,3,0,2008,2009,2,1
235000,2263,7,1,1,1977,2,16659,2,4,0,1994,2006,2,1
167000,1644,6,1,1,1953,2,9600,3,3,0,1953,2009,4,1
142500,1003,6,1,1,1984,2,7937,3,3,0,1984,2006,2,1
152000,1558,5,1,1,1950,1,13710,3,3,0,1950,2007,2,1
239000,1950,7,1,1,1997,2,7399,5,4,0,1998,2007,4,1
175000,1743,6,1,1,1968,2,11700,4,3,0,1968,2007,5,1
158500,1152,6,5,1,1950,1,14000,5,4,0,2004,2009,2,1
157000,1336,5,1,2,1953,1,15750,3,3,0,1953,2006,4,1
267000,2452,8,1,1,1998,2,16226,5,4,0,1999,2007,2,1
205000,1541,7,1,1,2001,3,13704,5,4,0,2002,2006,2,1
149900,894,5,2,1,1972,2,9800,3,3,0,1972,2006,2,1
295000,3493,7,1,1,1880,3,18386,5,4,0,2002,2008,2,1
305900,2000,8,1,1,2004,3,10386,5,4,0,2005,2007,2,1
225000,2243,7,1,1,1990,3,13474,4,4,0,1991,2007,2,1
89500,1406,6,1,1,1920,0,7920,3,2,0,1950,2008,2,1
82500,861,4,1,1,1940,2,12342,5,3,0,1950,2009,2,1
360000,1944,9,1,1,2003,3,12378,5,5,0,2004,2006,2,1
165600,1501,6,1,1,1993,2,7685,4,4,0,1994,2006,2,1
132000,972,6,1,1,1948,1,8000,5,3,0,2002,2009,2,1
119900,1118,5,1,2,1939,2,7800,3,3,0,1950,2006,2,1
375000,2036,7,1,1,1965,2,215245,3,3,0,1965,2009,4,1
178000,1641,7,1,1,1925,2,9600,5,5,0,1990,2006,2,1
188500,1432,7,1,1,2004,2,7795,5,4,0,2005,2009,2,1
260000,2353,7,1,1,1980,2,13005,3,5,0,1980,2009,2,1
270000,1959,8,1,1,2006,3,9000,5,4,0,2006,2007,2,1
260000,2646,7,1,1,1993,3,9900,5,4,0,1993,2009,2,1
187500,1472,7,1,1,1980,2,14115,3,3,0,1980,2009,2,1
342643,2596,9,6,1,2006,3,16259,5,4,0,2006,2006,2,4
354000,2468,8,1,1,2004,3,12099,5,4,0,2004,2007,2,1
301000,2730,7,1,1,1986,2,10380,5,4,0,1987,2007,2,1
126175,1163,3,1,1,1955,1,5820,5,3,0,2005,2006,2,1
242000,2978,7,1,1,1967,2,11275,5,4,0,2007,2010,5,1
87000,803,5,1,1,1941,2,5000,1,3,0,1950,2007,2,1
324000,1719,8,1,4,1993,2,10846,5,4,0,1993,2008,2,6
145250,1383,6,1,1,1960,1,11600,3,3,0,1960,2006,4,1
214500,2134,6,1,1,1916,2,11888,4,4,0,1994,2009,2,1
78000,1192,5,1,1,1920,1,6402,3,3,0,1950,2009,2,1
119000,1728,5,1,3,1964,1,10624,3,3,0,1964,2007,2,1
139000,1056,5,1,1,1958,1,8176,2,3,0,1992,2007,2,1
284000,1629,8,1,1,2003,3,10655,5,4,0,2004,2009,2,1
207000,1358,7,1,4,2004,2,8198,5,4,0,2004,2008,2,1
192000,1638,6,1,1,1998,2,9042,4,3,0,1998,2008,2,1
228950,1786,5,1,2,1965,2,164660,5,3,700,1965,2008,2,1
377426,1922,9,1,1,2005,3,14157,5,4,0,2006,2007,4,1
214000,1536,7,1,1,2002,2,9135,5,4,0,2003,2008,2,1
202500,1621,7,1,1,1984,2,14145,5,4,400,1998,2006,2,1
155000,1215,6,1,1,1958,1,12400,3,3,0,1998,2009,4,1
202900,1908,8,1,1,2002,2,14191,5,4,0,2002,2010,2,1
82000,841,4,1,1,1950,1,8400,4,3,0,1950,2009,2,1
87500,1040,3,1,3,1949,2,8544,2,3,0,1950,2006,2,1
266000,1684,9,1,4,2005,2,8849,5,5,0,2005,2008,4,1
85000,1112,5,1,4,1976,1,2592,3,3,0,1976,2010,2,1
140200,1577,6,1,1,1939,1,6435,4,2,0,1950,2006,2,1
151500,958,6,1,1,1960,1,12772,3,3,15500,1998,2007,4,1
157500,1478,6,1,1,1960,2,17600,5,3,0,1960,2009,2,1
154000,1626,7,1,5,2003,2,2448,5,4,0,2004,2008,2,1
437154,2728,9,6,1,2005,3,20431,5,5,0,2006,2006,4,4
318061,1869,9,6,4,2007,2,7820,5,5,0,2007,2007,4,4
190000,1453,7,2,1,1986,2,5271,4,4,0,1986,2006,2,1
95000,1111,5,1,1,1941,1,9084,3,3,0,1950,2008,2,7
105900,720,6,1,1,1928,2,8520,4,3,0,2003,2010,2,1
140000,1595,6,1,1,1940,1,8400,5,3,0,2000,2006,2,1
177500,1200,6,1,1,1995,2,11249,5,4,0,1995,2007,2,1
173000,1167,6,1,1,1992,2,9248,4,4,0,1992,2009,2,1
134000,1142,5,1,4,1976,2,4224,3,3,0,1976,2007,2,1
130000,1352,5,2,1,1958,1,6930,5,4,0,1958,2006,4,1
280000,1924,8,1,1,1998,2,12011,5,4,0,1998,2006,2,1
156000,912,6,1,1,1978,2,7540,5,3,0,1978,2007,2,1
145000,1505,5,1,1,1940,1,9144,4,3,0,1982,2008,2,1
198500,1922,7,1,1,2003,2,7301,5,4,0,2003,2009,2,9
118000,987,6,1,5,1972,1,1680,4,4,0,2007,2009,2,1
190000,1574,6,1,1,1976,2,18800,3,3,0,1976,2006,2,1
147000,1344,5,1,1,1920,1,10690,4,3,0,1997,2009,4,1
159000,1394,6,1,1,1963,2,9500,4,3,0,1963,2009,2,1
165000,1431,6,1,1,1962,1,9150,4,3,0,1962,2008,2,1
132000,1268,5,1,1,1954,1,7800,4,3,0,1954,2010,2,1
162000,1287,5,1,1,1959,2,9830,5,4,0,2006,2010,2,1
172400,1664,6,1,1,2000,2,8121,5,3,0,2000,2006,2,1
134432,1588,4,1,1,1959,2,17120,3,3,0,1959,2008,2,1
125000,752,6,1,4,1984,1,7175,3,3,0,1984,2010,2,1
123000,1319,5,1,1,1953,1,10634,3,3,0,1953,2009,2,1
219500,1928,7,1,1,2003,2,8200,5,4,0,2004,2007,2,1
61000,904,1,1,1,1922,0,10020,4,2,0,1950,2009,2,1
148000,914,5,1,1,1996,2,8846,5,3,0,1996,2006,2,1
340000,2466,8,1,1,2004,2,11143,5,4,0,2005,2007,2,1
394432,1856,9,6,1,2010,3,11394,5,5,0,2010,2010,4,4
179000,1800,6,1,1,2000,2,8123,5,3,0,2000,2009,2,1
127000,1691,5,1,1,1924,1,5000,3,4,0,1950,2010,2,1
187750,1301,7,6,1,2006,2,7200,5,4,0,2006,2006,2,4
213500,1797,7,1,1,2006,2,9245,5,4,0,2006,2007,2,1
76000,784,6,1,1,1928,2,9000,3,3,0,1950,2009,2,1
240000,1953,6,1,1,1992,2,53107,5,4,0,1992,2007,2,1
