,Director,No. of critics for reviews,Duration,No. of Facebook likes for Director,No. of Facebook likes for Actor 3,Actor 2,No. of Facebook likes for Actor 1,Gross Revenue,Actor 1,No. of users who voted,Total Facebook likes for cast,Actor 3,No. of users for reviews,Language,Country,Content Rating,Budget,No. of Facebook likes for Actor 2,IMDb Score,Aspect Ratio,No. of Facebook likes for Movie,Release Date,Studio,Title,Average Metacritic Score
21,Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Naomi Watts,316018,7123,Evan Parke,2618.0,English,New Zealand,PG-13,207000000.0,919.0,7.2,2.35,0,12/14/2005,Universal Pictures,King Kong,80.06451612903227
22,James Cameron,315.0,194.0,0.0,794.0,Kate Winslet,29000.0,658672302.0,Leonardo DiCaprio,793059,45223,Gloria Stuart,2528.0,English,USA,PG-13,200000000.0,14000.0,7.7,2.35,26000,04/16/1953,20th Century Fox,Titanic,77.45714285714286
23,Anthony Russo,516.0,147.0,94.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Robert Downey Jr.,272670,64798,Chris Evans,1022.0,English,USA,PG-13,250000000.0,19000.0,8.2,2.35,72000,05/06/2016,Walt Disney Pictures,Captain America: Civil War,76.64150943396227
24,Peter Berg,377.0,131.0,532.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Liam Neeson,202382,26679,Tadanobu Asano,751.0,English,USA,PG-13,209000000.0,10000.0,5.9,2.35,44000,05/18/2012,Universal,Battleship,45.20512820512821
25,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Bryce Dallas Howard,418214,8458,Omar Sy,1290.0,English,USA,PG-13,150000000.0,2000.0,7.0,2.0,150000,06/12/2015,Universal Pictures,Jurassic World,63.51020408163265
26,Sam Raimi,300.0,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,J.K. Simmons,411164,43388,Kirsten Dunst,1303.0,English,USA,PG-13,200000000.0,11000.0,7.3,2.35,0,06/30/2004,Sony Pictures,Spider-Man 2,84.24390243902441
27,Shane Black,608.0,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Robert Downey Jr.,557489,30426,Don Cheadle,1187.0,English,USA,PG-13,200000000.0,4000.0,7.2,2.35,95000,05/03/2013,Walt Disney Pictures,Iron Man 3,65.95454545454545
28,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Johnny Depp,306320,79957,Anne Hathaway,736.0,English,USA,PG,200000000.0,25000.0,6.5,1.85,24000,03/05/2010,Walt Disney Pictures,Alice in Wonderland,61.4375
29,Brett Ratner,334.0,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Hugh Jackman,383427,21714,Daniel Cudmore,1912.0,English,Canada,PG-13,210000000.0,808.0,6.8,2.35,0,05/26/2006,20th Century Fox,X-Men: The Last Stand,61.78947368421053
30,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Glenn Morshower,323207,3218,Ramon Rodriguez,1439.0,English,USA,PG-13,200000000.0,581.0,6.0,2.35,0,06/24/2009,Paramount/Dreamworks,Transformers: Revenge of the Fallen,42.9375
31,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Tim Holmes,175409,73441,James Franco,511.0,English,USA,PG,215000000.0,15000.0,6.4,2.35,60000,03/08/2013,Walt Disney Pictures,Oz the Great and Powerful,51.047619047619044
32,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Emma Stone,321227,28631,B.J. Novak,1067.0,English,USA,PG-13,200000000.0,10000.0,6.7,2.35,41000,05/02/2014,Sony Pictures,The Amazing Spider-Man 2,57.24
33,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Joe Mantegna,101178,4482,Eddie Izzard,283.0,English,USA,G,200000000.0,919.0,6.3,2.35,10000,06/24/2011,Walt Disney Pictures/PIXAR,Cars 2,59.5
34,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Ryan Reynolds,223393,17657,Taika Waititi,550.0,English,USA,PG-13,200000000.0,368.0,5.6,2.35,24000,06/17/2011,Warner Bros. Pictures,Green Lantern,44.12820512820514
35,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Tom Hanks,544884,19085,Don Rickles,733.0,English,USA,G,200000000.0,1000.0,8.3,1.85,30000,06/18/2010,Walt Disney Pictures,Toy Story 3,90.33333333333331
36,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Christian Bale,286095,27468,Common,974.0,English,USA,PG-13,200000000.0,3000.0,6.6,2.35,0,05/21/2009,Warner Bros. Pictures,Terminator Salvation,53.80434782608695
37,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Jason Statham,278232,79150,Vin Diesel,657.0,English,USA,PG-13,190000000.0,23000.0,7.2,2.35,94000,04/03/2015,Universal Pictures,Furious 7,68.7
38,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Peter Capaldi,465019,32392,Mireille Enos,995.0,English,USA,PG-13,190000000.0,11000.0,7.0,2.35,129000,06/21/2013,Paramount Pictures,World War Z,65.82608695652173
39,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Jennifer Lawrence,514125,91434,Hugh Jackman,752.0,English,USA,PG-13,200000000.0,22000.0,8.0,2.35,82000,05/23/2014,20th Century Fox,X-Men: Days of Future Past,75.68181818181819
40,Baz Luhrmann,490.0,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Leonardo DiCaprio,362912,29770,Steve Bisley,753.0,English,Australia,PG-13,105000000.0,509.0,7.3,2.35,115000,03/29/1974,Paramount Pictures,The Great Gatsby,58.26666666666666
41,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Jake Gyllenhaal,222403,16149,Reece Ritchie,453.0,English,USA,PG-13,200000000.0,567.0,6.6,2.35,23000,05/28/2010,Walt Disney Pictures,Prince of Persia: The Sands of Time,53.842105263157904
42,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Charlie Hunnam,381148,19166,Larry Joe Campbell,1106.0,English,USA,PG-13,190000000.0,968.0,7.0,1.85,83000,07/12/2013,Warner Bros. Pictures,Pacific Rim,66.4375
43,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Glenn Morshower,326180,2593,Kevin Dunn,899.0,English,USA,PG-13,195000000.0,829.0,6.3,2.35,46000,06/29/2011,Paramount Studios,Transformers: Dark of the Moon,46.62162162162162
44,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Harrison Ford,333847,14959,Jim Broadbent,2054.0,English,USA,PG-13,185000000.0,1000.0,6.2,2.35,5000,05/22/2008,Paramount Pictures,Indiana Jones and the Kingdom of the Crystal Skull,67.275
45,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Kelly Macdonald,273556,5005,Julie Walters,428.0,English,USA,PG,185000000.0,1000.0,7.2,2.35,39000,06/22/2012,Walt Disney Pictures,Brave,70.27027027027027
46,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Sofia Boutella,53607,1327,Lydia Wilson,432.0,English,USA,PG-13,185000000.0,119.0,7.5,2.35,30000,07/22/2016,Paramount Pictures,Star Trek Beyond,68.5
47,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Tzi Ma,121084,1125,Noémie Lenoir,221.0,English,USA,PG-13,140000000.0,268.0,6.2,2.35,0,08/10/2007,New Line Cinema,Rush Hour 3,47.75
48,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Oliver Platt,283418,2144,Tom McCarthy,1055.0,English,USA,PG-13,200000000.0,468.0,5.8,2.35,13000,11/13/2009,Sony Pictures/Columbia,2012,56.29411764705882
49,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Robin Wright,72809,48878,Gary Oldman,249.0,English,USA,PG,200000000.0,14000.0,6.8,2.35,0,12/16/1938,MGM,A Christmas Carol,60.46875
50,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Channing Tatum,139593,47334,Eddie Redmayne,720.0,English,USA,PG-13,176000000.0,15000.0,5.4,2.35,44000,02/06/2015,Warner Bros. Pictures,Jupiter Ascending,45.375
51,Bryan Singer,396.0,144.0,0.0,1000.0,Michael Fassbender,34000.0,154985087.0,Jennifer Lawrence,148379,49684,Tye Sheridan,622.0,English,USA,PG-13,178000000.0,13000.0,7.3,2.35,54000,05/27/2016,20th Century Fox,X-Men: Apocalypse,54.64583333333334
52,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Christian Bale,1676169,57802,Morgan Freeman,4667.0,English,USA,PG-13,185000000.0,13000.0,9.0,2.35,37000,07/18/2008,Warner Bros. Pictures/Legendary,The Dark Knight,84.84615384615384
53,Pete Docter,408.0,96.0,0.0,262.0,Delroy Lindo,1000.0,292979556.0,John Ratzenberger,665575,2635,Jess Harnell,704.0,English,USA,PG,175000000.0,848.0,8.3,1.85,27000,05/29/2009,Walt Disney Pictures,Up,88.67567567567568
54,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Robert Downey Jr.,696338,39252,Jon Favreau,1055.0,English,USA,PG-13,140000000.0,12000.0,7.9,2.35,10000,04/14/2008,Paramount Pictures,Iron Man,79.34210526315789
55,Barry Sonnenfeld,85.0,106.0,188.0,582.0,Salma Hayek,10000.0,113745408.0,Will Smith,129601,15870,Bai Ling,648.0,English,USA,PG-13,170000000.0,4000.0,4.8,1.85,0,06/30/1999,Warner Bros. Pictures,Wild Wild West,43.56
56,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Jet Li,117927,9131,Russell Wong,501.0,English,USA,PG-13,145000000.0,3000.0,5.2,2.35,0,07/24/2008,Universal Pictures,The Mummy: Tomb of the Dragon Emperor,37.18181818181818
57,David Ayer,418.0,123.0,452.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Will Smith,118992,11287,Ike Barinholtz,971.0,English,USA,PG-13,175000000.0,336.0,6.9,2.35,80000,08/05/2016,Warner Bros. Pictures,Suicide Squad,46.849056603773576
58,Tom Shadyac,186.0,96.0,293.0,7000.0,Morgan Freeman,87000.0,100289690.0,Jimmy Bennett,115099,108016,Steve Carell,257.0,English,USA,PG,175000000.0,11000.0,5.4,2.35,2000,06/22/2007,Universal Pictures,Evan Almighty,43.09090909090909
59,Kevin Reynolds,91.0,176.0,58.0,60.0,Rick Aviles,711.0,88246220.0,Jeanne Tripplehorn,144337,1004,Zakes Mokae,309.0,English,USA,PG-13,175000000.0,60.0,6.1,1.85,0,07/28/1995,MCA Universal Home Video,Waterworld,60.0
60,Stephen Sommers,250.0,118.0,208.0,570.0,Dennis Quaid,23000.0,150167630.0,Joseph Gordon-Levitt,174578,26683,Leo Howard,534.0,English,USA,PG-13,175000000.0,2000.0,5.8,2.35,0,08/07/2009,Paramount Pictures,G.I. Joe: The Rise of Cobra,41.56
61,Pete Docter,536.0,95.0,0.0,384.0,Mindy Kaling,1000.0,356454367.0,Amy Poehler,345198,2944,Phyllis Smith,773.0,English,USA,PG,175000000.0,767.0,8.3,1.85,118000,06/19/2015,Disney/Pixar,Inside Out,84.50793650793649
62,Jon Favreau,370.0,106.0,4000.0,591.0,Bill Murray,19000.0,362645141.0,Scarlett Johansson,106072,32921,Garry Shandling,398.0,English,UK,PG,175000000.0,13000.0,7.8,1.85,65000,04/15/2016,Walt Disney Pictures,The Jungle Book,74.1625
63,Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Robert Downey Jr.,522371,48638,Jon Favreau,723.0,English,USA,PG-13,200000000.0,19000.0,7.0,2.35,18000,05/07/2010,Paramount Studios,Iron Man 2,60.075
64,Rupert Sanders,416.0,132.0,274.0,11000.0,Kristen Stewart,26000.0,155111815.0,Chris Hemsworth,228554,72881,Sam Claflin,710.0,English,USA,PG-13,170000000.0,17000.0,6.1,2.35,53000,06/01/2012,Universal Pictures,Snow White and the Huntsman,59.384615384615394
65,Robert Stromberg,401.0,97.0,171.0,846.0,Sharlto Copley,11000.0,241407328.0,Angelina Jolie Pitt,252257,15516,Sam Riley,634.0,English,USA,PG,180000000.0,2000.0,7.0,2.35,89000,05/30/2014,Walt Disney Pictures,Maleficent,59.45454545454545
66,Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Keanu Reeves,116994,20965,Jin Akanishi,324.0,English,USA,PG-13,175000000.0,1000.0,6.3,2.35,35000,12/25/2013,Universal Pictures,47 Ronin,33.904761904761905
67,Anthony Russo,576.0,136.0,94.0,2000.0,Chris Evans,19000.0,259746958.0,Scarlett Johansson,496749,36188,Hayley Atwell,742.0,English,USA,PG-13,170000000.0,11000.0,7.8,2.35,55000,04/04/2014,Walt Disney Pictures,Captain America: The Winter Soldier,73.1875
68,Mike Mitchell,226.0,93.0,31.0,213.0,Kathy Griffin,4000.0,238371987.0,Jon Hamm,138661,4628,Mary Kay Place,173.0,English,USA,PG,165000000.0,225.0,6.4,2.35,0,05/21/2010,Paramount,Shrek Forever After,62.2
69,Brad Bird,443.0,130.0,663.0,604.0,Chris Bauer,2000.0,93417865.0,Judy Greer,128306,5046,Thomas Robinson,497.0,English,USA,PG,190000000.0,638.0,6.5,2.2,37000,05/22/2015,Walt Disney Pictures,Tomorrowland,63.61702127659574
70,Don Hall,384.0,102.0,38.0,562.0,Daniel Henney,756.0,222487711.0,Damon Wayans Jr.,279093,2963,Abraham Benrubi,433.0,English,USA,PG,165000000.0,719.0,7.9,2.39,41000,11/07/2014,Walt Disney Pictures,Big Hero 6,74.8157894736842
71,Robert Zemeckis,188.0,100.0,0.0,267.0,Eddie Deezen,15000.0,665426.0,Tom Hanks,120798,16264,Peter Scolari,444.0,English,USA,G,165000000.0,726.0,6.6,2.35,10000,11/10/2004,Warner Bros. Pictures,The Polar Express,67.5
72,Dean DeBlois,288.0,98.0,255.0,759.0,America Ferrera,18000.0,217387997.0,Gerard Butler,485430,20453,Craig Ferguson,492.0,English,USA,PG,165000000.0,953.0,8.2,2.35,33000,03/26/2010,Paramount/DWA,How to Train Your Dragon,76.0909090909091
73,James Gunn,653.0,121.0,571.0,3000.0,Vin Diesel,14000.0,333130696.0,Bradley Cooper,682155,32438,Djimon Hounsou,1097.0,English,USA,PG-13,170000000.0,14000.0,8.1,2.35,96000,08/01/2014,Walt Disney Pictures,Guardians of the Galaxy,77.71698113207547
74,Christopher Nolan,712.0,169.0,22000.0,6000.0,Anne Hathaway,11000.0,187991439.0,Matthew McConaughey,928227,31488,Mackenzie Foy,2725.0,English,USA,PG-13,165000000.0,11000.0,8.6,2.35,349000,11/07/2014,Paramount Pictures,Interstellar,74.45652173913044
75,Christopher Nolan,642.0,148.0,22000.0,23000.0,Tom Hardy,29000.0,292568851.0,Leonardo DiCaprio,1468200,81115,Joseph Gordon-Levitt,2803.0,English,USA,PG-13,160000000.0,27000.0,8.8,2.35,175000,07/16/2010,Warner Bros. Pictures,Inception,77.5
76,Peter Jackson,645.0,182.0,0.0,773.0,Adam Brown,5000.0,303001229.0,Aidan Turner,637246,9152,James Nesbitt,1367.0,English,USA,PG-13,180000000.0,972.0,7.9,2.35,166000,12/14/2012,Warner Bros.,The Hobbit: An Unexpected Journey,62.225
77,Rob Cohen,187.0,106.0,357.0,4000.0,Vin Diesel,23000.0,144512310.0,Paul Walker,272223,45327,Jordana Brewster,988.0,English,USA,PG-13,38000000.0,14000.0,6.7,2.35,14000,06/22/2001,Universal Pictures,The Fast and the Furious,61.441176470588225
78,David Fincher,362.0,166.0,21000.0,919.0,Jason Flemyng,11000.0,127490802.0,Brad Pitt,459346,13333,Julia Ormond,822.0,English,USA,PG-13,150000000.0,1000.0,7.8,2.35,23000,12/25/2008,Paramount,The Curious Case of Benjamin Button,73.43243243243244
79,Matthew Vaughn,500.0,132.0,905.0,1000.0,Michael Fassbender,34000.0,146405371.0,Jennifer Lawrence,518537,50983,Oliver Platt,698.0,English,USA,PG-13,160000000.0,13000.0,7.8,2.35,54000,06/03/2011,20th Century Fox,X-Men: First Class,66.28947368421052
80,Francis Lawrence,389.0,137.0,508.0,14000.0,Philip Seymour Hoffman,34000.0,281666058.0,Jennifer Lawrence,166137,81385,Josh Hutcherson,383.0,English,USA,PG-13,160000000.0,22000.0,6.6,2.35,38000,11/20/2015,Lionsgate Films,The Hunger Games: Mockingjay - Part 2,67.48888888888891
81,Jon Turteltaub,235.0,109.0,226.0,370.0,Omar Benson Miller,12000.0,63143812.0,Nicolas Cage,124185,13388,Robert Capron,238.0,English,USA,PG,150000000.0,418.0,6.1,2.35,11000,07/14/2010,Walt Disney Studios,The Sorcerer's Apprentice,51.764705882352935
82,Wolfgang Petersen,231.0,98.0,249.0,702.0,Mike Vogel,87000.0,60655503.0,Jimmy Bennett,82380,92456,Andre Braugher,629.0,English,USA,PG-13,160000000.0,2000.0,5.6,2.35,0,05/12/2006,Warner Bros. Pictures,Poseidon,53.611111111111114
83,Chris Miller,227.0,93.0,50.0,692.0,Eric Idle,3000.0,320706665.0,Justin Timberlake,211971,4705,Rupert Everett,326.0,English,USA,PG,160000000.0,795.0,6.1,1.85,0,05/18/2007,Dreamworks,Shrek the Third,59.68571428571428
84,Duncan Jones,275.0,123.0,0.0,648.0,Callum Rennie,3000.0,46978995.0,Dominic Cooper,111609,5505,Ruth Negga,781.0,English,USA,PG-13,160000000.0,716.0,7.3,2.35,89000,06/10/2016,Universal Pictures,Warcraft,38.425
85,Alan Taylor,474.0,126.0,230.0,2000.0,Emilia Clarke,24000.0,89732035.0,J.K. Simmons,188457,38873,Matt Smith,867.0,English,USA,PG-13,155000000.0,10000.0,6.6,2.35,82000,07/01/2015,Paramount Pictures,Terminator Genisys,44.65853658536585
86,Michael Apted,228.0,113.0,150.0,59.0,Shane Rangi,531.0,104383624.0,Bruce Spence,106446,764,Laura Brent,227.0,English,USA,PG,155000000.0,82.0,6.3,1.78,11000,12/10/2010,20th Century Fox,The Chronicles of Narnia: The Voyage of the Dawn Treader,57.03030303030303
87,Michael Bay,191.0,184.0,0.0,691.0,Jaime King,3000.0,198539855.0,Jennifer Garner,254111,5401,Mako,1999.0,English,USA,PG-13,140000000.0,961.0,6.1,2.35,0,05/25/2001,Touchstone,Pearl Harbor,50.65714285714286
88,Michael Bay,396.0,144.0,0.0,581.0,Michael O'Neill,662.0,318759914.0,Zack Ward,513158,2333,Kevin Dunn,1782.0,English,USA,PG-13,150000000.0,599.0,7.1,2.35,8000,07/03/2007,Dreamworks,Transformers,65.82857142857142
89,Oliver Stone,248.0,206.0,0.0,591.0,Angelina Jolie Pitt,12000.0,34293771.0,Anthony Hopkins,138863,24598,Brian Blessed,1390.0,English,Germany,R,155000000.0,11000.0,5.5,2.35,0,11/24/2004,Warner Bros. Pictures,Alexander,44.69047619047619
90,David Yates,329.0,138.0,282.0,687.0,Daniel Radcliffe,21000.0,292000866.0,Robert Pattinson,355137,33433,Fiona Shaw,1108.0,English,UK,PG-13,150000000.0,11000.0,7.5,2.35,0,07/11/2007,Warner Bros. Pictures,Harry Potter and the Order of the Phoenix,72.89189189189189
91,Mike Newell,295.0,157.0,179.0,10000.0,Daniel Radcliffe,21000.0,289994397.0,Robert Pattinson,385670,53413,Rupert Grint,1896.0,English,UK,PG-13,150000000.0,11000.0,7.6,2.35,0,11/18/2005,Warner Bros. Pictures,Harry Potter and the Goblet of Fire,80.78947368421052
92,Peter Berg,318.0,102.0,532.0,979.0,Charlize Theron,10000.0,227946274.0,Will Smith,343648,21584,Eddie Marsan,590.0,English,USA,PG-13,150000000.0,9000.0,6.4,2.35,0,06/16/2008,Columbia Pictures,Hancock,54.7027027027027
93,Francis Lawrence,323.0,104.0,508.0,558.0,Alice Braga,10000.0,256386216.0,Will Smith,530870,13076,Willow Smith,1413.0,English,USA,PG-13,150000000.0,1000.0,7.2,2.35,11000,12/14/2007,Warner Bros. Pictures,I Am Legend,66.70270270270271
94,Tim Burton,276.0,115.0,13000.0,588.0,Christopher Lee,40000.0,206456431.0,Johnny Depp,320284,57844,David Kelly,1361.0,English,USA,PG,150000000.0,16000.0,6.7,1.85,0,07/15/2005,Warner Bros. Pictures,Charlie and the Chocolate Factory,74.125
95,Brad Bird,318.0,111.0,663.0,954.0,John Ratzenberger,1000.0,206435493.0,Janeane Garofalo,473887,4764,Brian Dennehy,626.0,English,USA,G,150000000.0,1000.0,8.0,2.35,10000,06/29/2007,Disney/Pixar,Ratatouille,93.45945945945944
96,Christopher Nolan,478.0,128.0,22000.0,11000.0,Liam Neeson,23000.0,205343774.0,Christian Bale,980946,59558,Morgan Freeman,2685.0,English,USA,PG-13,150000000.0,14000.0,8.3,2.35,15000,06/14/2005,Warner Bros. Pictures,Batman Begins,72.6829268292683
97,Eric Darnell,167.0,89.0,35.0,436.0,Jada Pinkett Smith,1000.0,179982968.0,Bernie Mac,146019,3285,Cedric the Entertainer,119.0,English,USA,PG,150000000.0,851.0,6.7,1.85,0,11/07/2008,Paramount Studios,Madagascar: Escape 2 Africa,63.44
